#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
G001295865	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Rubrivivax	 Rubrivivax sp001295865
G000332875	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	 Anaerostipes hadrus
MJ031-1-barcode30-umi16364bins-ubs-27	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium enshiense
MJ033-1-barcode34-umi40846bins-ubs-3	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 VFJQ01	 VFJQ01 sp009885995
G001558695	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Paramesorhizobium	 Paramesorhizobium deserti
KU973602	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Variovorax	 Variovorax humicola
MJ033-1-barcode32-umi11262bins-ubs-25	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 UBA3939	 UBA3939	 UBA3939 sp002385705
MH393406	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Paraburkholderia_580243	 Paraburkholderia phosphatilytica
RS-GCF-004358425.1-NZ-CP037948.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Qipengyuania_B_484592	 Qipengyuania_B_484592 sediminis
MJ031-1-barcode42-umi14477bins-ubs-33	Bacteria	 Bacillota_B_370539	 Desulfitobacteriia	 Desulfitobacteriales	 Syntrophobotulaceae	 Gracilibacter	 Gracilibacter sp001516055
KF600710	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Pseudonocardiaceae	 Actinomycetospora	 Actinomycetospora chiangmaiensis
MJ034-1-barcode48-umi13133bins-ubs-24	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavisolibacter_B	 Flavisolibacter_B tropicus
MJ033-1-barcode36-umi25872bins-ubs-9	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Clostridiales	 Clostridiaceae_222000	 Clostridium_AT	 Clostridium_AT sp000466585
KC508872	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Xanthobacteraceae	 Bradyrhizobium_503372	 Bradyrhizobium sp000938255
MJ033-1-barcode36-umi21985bins-ubs-12	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Parafilimonas	 Parafilimonas terrae
MJ007-2-barcode62-umi15456bins-ubs-22	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_310392	 Bacillaceae_G	 Bacillus_A	 
MN154398	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Beijerinckiaceae	 Methylobacterium	 Methylobacterium gregans
MJ030-2-barcode65-umi3991bins-ubs-72	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Caballeronia	 Caballeronia fortuita
MJ006-2-barcode69-umi27046bins-ubs-11	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Enterobacter_B_683299	 Enterobacter_B_683299 quasiroggenkampii
MJ031-2-barcode69-umi19697bins-ubs-24	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavipsychrobacter	 Flavipsychrobacter stenotrophus
RS-GCF-013359725.1-NZ-JABFMW010000051.1	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Micrococcaceae	 Arthrobacter_J_385583	 
RS-GCF-001429855.1-NZ-LMTA01000001.1	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306087	 DSM-1321	 Peribacillus_A_301373	 Peribacillus_A_301373 simplex_A
MJ030-2-barcode58-umi96502bins-ubs-4	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Calidifontimicrobium	 Calidifontimicrobium sediminis
MJ030-1-barcode35-umi100635bins-ubs-3	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Shimia_A_490690	 
MJ010-1-barcode47-umi207798bins-ubs-3	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Telluria_573210	 Telluria sp001412595
MJ030-2-barcode65-umi42674bins-ubs-15	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Koribacteraceae	 Bog-257	 Bog-257 sp003152695
MJ034-2-barcode72-umi1244bins-ubs-324	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 OLB17_426821	 OLB17 sp001567505
AY341343	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Allorhizobium_500023	 Rhizobium_C_500045 daejeonense
GEFY01040725.1.1358	Bacteria	 Cyanobacteriota	 Cyanobacteriia	 Cyanobacteriales	 Coleofasciculaceae	 Caldora	 Caldora sp010672925
MJ034-2-barcode65-umi17977bins-ubs-3	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 AHLZ01	 
MJ034-1-barcode48-umi12131bins-ubs-28	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavipsychrobacter	 Flavipsychrobacter stenotrophus
RS-GCF-003236295.1-NZ-POTW01000167.1	Bacteria	 Actinomycetota	 Actinomycetes	 Jiangellales	 Jiangellaceae	 Jiangella	 Jiangella anatolica
GU084182	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium heraklionense
MJ006-1-barcode26-umi140104bins-ubs-3	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Oscillospirales	 Acutalibacteraceae	 Hominenteromicrobium	 Hominenteromicrobium mulieris
MJ033-1-barcode43-umi41299bins-ubs-3	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Methylophilaceae	 	 
G902812375	Bacteria	 Gemmatimonadota	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 UBA4720	 UBA4720 sp902812375
MJ034-2-barcode50-umi1811bins-ubs-238	Bacteria	 Patescibacteria	 Saccharimonadia	 Saccharimonadales	 UBA2112	 	 
MJ031-1-barcode30-umi35162bins-ubs-5	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 PSRF01	 PSRF01 sp003222935
MJ034-1-barcode31-umi22555bins-ubs-7	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Micropepsales	 Micropepsaceae	 	 
MJ020-1-barcode31-umi82525bins-ubs-4	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 SbA1	 Sulfotelmatobacter	 Sulfotelmatobacter sp003166855
MJ034-2-barcode61-umi1653bins-ubs-264	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Dinghuibacter	 Dinghuibacter silviterrae
MJ030-2-barcode65-umi44588bins-ubs-18	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Koribacteraceae	 Bog-257	 Bog-257 sp003152695
RS-GCF-900090205.1-NZ-LT607802.1--2	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Chromobacteriaceae	 Vogesella	 
MJ007-1-barcode25-umi515bins-ubs-478	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 DSM-16500	 DSM-16500	 UBA4722	 UBA4722 sp002404295
MJ033-1-barcode34-umi13455bins-ubs-20	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 Chthoniobacter flavus
AB681845	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Hydrogenophaga_590395	 Hydrogenophaga pseudoflava
MJ033-1-barcode37-umi16529bins-ubs-16	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales_B	 Cyclobacteriaceae	 ELB16-189	 ELB16-189 sp001567185
MJ030-2-barcode65-umi114477bins-ubs-3	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 SbA1	 Sulfotelmatobacter	 Sulfotelmatobacter sp003166855
